Oil_store,주소,가격,셀프,상표
사천신흥주유소,경남 사천시 용현면 진삼로 585,1595,Y,현대오일뱅크
학동주유소,경남 사천시 정동면 상정대로 2061,1595,N,SK에너지
부자주유소,경상남도 사천시 삼천포대교로 930 (송포동),1595,Y,SK에너지
남척주유소(사천),경남 사천시 삼천포대교로 892 (송포동),1595,N,SK에너지
인성주유소,경남 사천시 삼천포대교로 632,1599,N,현대오일뱅크
용장군주유소,경남 사천시 용현면 사천대로 938,1600,N,알뜰주유소
스카이셀프주유소,경남 사천시 사천읍 사천대로 1797,1605,Y,S-OIL
용머리주유소,경남 사천시 사천대로 1121,1605,N,현대오일뱅크
(주)월성주유소,경남 사천시 사남면사천대로 1654,1605,Y,현대오일뱅크
(주)사천공항주유소,경남 사천시 사천읍 사천대로 1997,1605,Y,SK에너지
사천대로주유소,경남 사천시 사천읍 사천대로 1813,1605,Y,GS칼텍스
대교주유소,경남 사천시 사천대로 732 (노룡동),1605,Y,현대오일뱅크
(주)한주에너지,경남 사천시 사천읍 진삼로 1293,1605,Y,알뜰주유소
성일주유소,경남 사천시 사천읍 사천대로 1851,1609,N,현대오일뱅크
㈜승일 배춘주유소,경남 사천시 축동면 두량로 66,1609,N,알뜰주유소
곤명농협주유소,경남 사천시 곤명면 경서대로 3395-1,1610,N,NH-OIL
용현농협주유소,경남 사천시 용현면 진삼로 640,1610,N,NH-OIL
사남농협주유소,경남 사천시 사남면 진삼로 1107,1610,N,NH-OIL
곤명농협 곤양지점주유소,경남 사천시 곤양면 남산로 75,1610,N,NH-OIL
서포농협서포주유소,경남 사천시 서포면 서포로 322,1610,N,NH-OIL
사천(순천방향)주유소/충전소,경남 사천시 곤양면 묵실길 31-13,1614,Y,알뜰(ex)
사천(부산방향)주유소/충전소,경남 사천시 곤양면 서삼로 637,1614,Y,알뜰(ex)
태양주유소,경남 사천시 사천대로 706 (노룡동),1615,Y,S-OIL
고속주유소,경남 사천시 서포면 서포로 746,1615,N,SK에너지
하남주유소,경남 사천시 삼상로 279 (봉남동),1615,N,SK에너지
사천농협주유소,경남 사천시 사천읍 무산로 8,1615,N,NH-OIL
천일주유소,경남 사천시 주공로 110 (용강동),1618,N,SK에너지
다솔주유소,경남 사천시 곤명면 봉명로 89,1620,N,알뜰주유소
사천주유소,경남 사천시 축동면 서삼로 1468,1625,N,현대오일뱅크
선인주유소,경남 사천시 동문로 98,1629,N,현대오일뱅크
